23_BE_DB      //R1=23, G1=BE, B1=DB
41_DC_F9      //R2=41, G2=DC, B2=F9
16_3E_86      //R3=16, G3=3E, B3=86
19_41_89      //R4=19, G4=41, B4=89
43_3A_B4      //R5=43, G5=3A, B5=B4
54_4B_C5      //R6=54, G6=4B, B6=C5
6E_4A_92      //R7=6E, G7=4A, B7=92
C4_A0_E8      //R8=C4, G8=A0, B8=E8
80_0E_D7      //R9=80, G9=0E, B9=D7
E8_76_FF      //R10=E8, G10=76, B10=FF
40_2A_F0      //R11=40, G11=2A, B11=F0
D2_BC_FF      //R12=D2, G12=BC, B12=FF
14_2B_01      //R13=14, G13=2B, B13=01
62_79_4F      //R14=62, G14=79, B14=4F
01_FF_17      //R15=01, G15=FF, B15=17
00_AC_00      //R16=00, G16=AC, B16=00
01_0D_07      //R17=01, G17=0D, B17=07
32_3E_38      //R18=32, G18=3E, B18=38
25_66_58      //R19=25, G19=66, B19=58
28_69_5B      //R20=28, G20=69, B20=5B
2D_3B_ED      //R21=2D, G21=3B, B21=ED
8F_9D_FF      //R22=8F, G22=9D, B22=FF
9A_AF_58      //R23=9A, G23=AF, B23=58
E7_FC_A5      //R24=E7, G24=FC, B24=A5
F0_70_57      //R25=F0, G25=70, B25=57
FF_88_6F      //R26=FF, G26=88, B26=6F
7C_03_82      //R27=7C, G27=03, B27=82
DC_63_E2      //R28=DC, G28=63, B28=E2
86_CD_62      //R29=86, G29=CD, B29=62
1E_65_00      //R30=1E, G30=65, B30=00
13_EE_A2      //R31=13, G31=EE, B31=A2
10_EB_9F      //R32=10, G32=EB, B32=9F
2E_D3_7A      //R33=2E, G33=D3, B33=7A
04_A9_50      //R34=04, G34=A9, B34=50
F5_CB_17      //R35=F5, G35=CB, B35=17
87_5D_00      //R36=87, G36=5D, B36=00
F6_38_72      //R37=F6, G37=38, B37=72
F9_3B_75      //R38=F9, G38=3B, B38=75
03_96_E1      //R39=03, G39=96, B39=E1
54_E7_FF      //R40=54, G40=E7, B40=FF
B5_4C_71      //R41=B5, G41=4C, B41=71
C8_5F_84      //R42=C8, G42=5F, B42=84
8C_DC_77      //R43=8C, G43=DC, B43=77
54_A4_3F      //R44=54, G44=A4, B44=3F
C5_FD_76      //R45=C5, G45=FD, B45=76
1F_57_00      //R46=1F, G46=57, B46=00
5F_D2_7C      //R47=5F, G47=D2, B47=7C
69_DC_86      //R48=69, G48=DC, B48=86
DC_40_16      //R49=DC, G49=40, B49=16
DE_42_18      //R50=DE, G50=42, B50=18
52_66_E2      //R51=52, G51=66, B51=E2
7B_8F_FF      //R52=7B, G52=8F, B52=FF
E8_CD_DC      //R53=E8, G53=CD, B53=DC
75_5A_69      //R54=75, G54=5A, B54=69
98_D2_E0      //R55=98, G55=D2, B55=E0
89_C3_D1      //R56=89, G56=C3, B56=D1
DA_5C_24      //R57=DA, G57=5C, B57=24
CC_4E_16      //R58=CC, G58=4E, B58=16
E7_92_FB      //R59=E7, G59=92, B59=FB
B4_5F_C8      //R60=B4, G60=5F, B60=C8
88_BD_E5      //R61=88, G61=BD, B61=E5
90_C5_ED      //R62=90, G62=C5, B62=ED
2E_64_05      //R63=2E, G63=64, B63=05
4C_82_23      //R64=4C, G64=82, B64=23
2F_F4_3A      //R65=2F, G65=F4, B65=3A
02_C7_0D      //R66=02, G66=C7, B66=0D
67_D9_B9      //R67=67, G67=D9, B67=B9
14_86_66      //R68=14, G68=86, B68=66
0E_9F_98      //R69=0E, G69=9F, B69=98
2B_BC_B5      //R70=2B, G70=BC, B70=B5
48_F6_3F      //R71=48, G71=F6, B71=3F
00_6A_00      //R72=00, G72=6A, B72=00
3F_80_03      //R73=3F, G73=80, B73=03
48_89_0C      //R74=48, G74=89, B74=0C
F5_17_F5      //R75=F5, G75=17, B75=F5
FF_87_FF      //R76=FF, G76=87, B76=FF
D1_E2_0A      //R77=D1, G77=E2, B77=0A
94_A5_00      //R78=94, G78=A5, B78=00
2D_C8_3E      //R79=2D, G79=C8, B79=3E
00_6B_00      //R80=00, G80=6B, B80=00
32_9F_D1      //R81=32, G81=9F, B81=D1
00_49_7B      //R82=00, G82=49, B82=7B
51_72_E1      //R83=51, G83=72, B83=E1
9E_BF_FF      //R84=9E, G84=BF, B84=FF
A1_33_5A      //R85=A1, G85=33, B85=5A
B1_43_6A      //R86=B1, G86=43, B86=6A
71_7C_97      //R87=71, G87=7C, B87=97
50_5B_76      //R88=50, G88=5B, B88=76
81_CC_A7      //R89=81, G89=CC, B89=A7
AE_F9_D4      //R90=AE, G90=F9, B90=D4
C2_29_23      //R91=C2, G91=29, B91=23
CD_34_2E      //R92=CD, G92=34, B92=2E
C0_B4_3E      //R93=C0, G93=B4, B93=3E
8C_80_0A      //R94=8C, G94=80, B94=0A
21_F9_DC      //R95=21, G95=F9, B95=DC
2D_FF_E8      //R96=2D, G96=FF, B96=E8
59_A5_F7      //R97=59, G97=A5, B97=F7
56_A2_F4      //R98=56, G98=A2, B98=F4
26_67_D7      //R99=26, G99=67, B99=D7
4F_90_FF      //R100=4F, G100=90, B100=FF
AD_FC_0E      //R101=AD, G101=FC, B101=0E
60_AF_00      //R102=60, G102=AF, B102=00
B1_EF_F1      //R103=B1, G103=EF, B103=F1
62_A0_A2      //R104=62, G104=A0, B104=A2
02_7C_CD      //R105=02, G105=7C, B105=CD
3D_B7_FF      //R106=3D, G106=B7, B106=FF
49_E3_CA      //R107=49, G107=E3, B107=CA
0C_A6_8D      //R108=0C, G108=A6, B108=8D
E7_65_0C      //R109=E7, G109=65, B109=0C
FF_A4_4B      //R110=FF, G110=A4, B110=4B
07_67_A6      //R111=07, G111=67, B111=A6
5D_BD_FC      //R112=5D, G112=BD, B112=FC
D6_E6_F9      //R113=D6, G113=E6, B113=F9
EA_FA_FF      //R114=EA, G114=FA, B114=FF
0F_A7_91      //R115=0F, G115=A7, B115=91
00_67_51      //R116=00, G116=67, B116=51
95_0A_43      //R117=95, G117=0A, B117=43
FF_7C_B5      //R118=FF, G118=7C, B118=B5
B9_91_72      //R119=B9, G119=91, B119=72
FB_D3_B4      //R120=FB, G120=D3, B120=B4
BB_BF_1B      //R121=BB, G121=BF, B121=1B
A2_A6_02      //R122=A2, G122=A6, B122=02
95_85_08      //R123=95, G123=85, B123=08
5A_4A_00      //R124=5A, G124=4A, B124=00
10_F7_E6      //R125=10, G125=F7, B125=E6
08_EF_DE      //R126=08, G126=EF, B126=DE
49_09_1F      //R127=49, G127=09, B127=1F
CC_8C_A2      //R128=CC, G128=8C, B128=A2
F6_85_B6      //R129=F6, G129=85, B129=B6
75_04_35      //R130=75, G130=04, B130=35
31_E3_08      //R131=31, G131=E3, B131=08
00_A3_00      //R132=00, G132=A3, B132=00
EE_3B_F6      //R133=EE, G133=3B, B133=F6
A7_00_AF      //R134=A7, G134=00, B134=AF
47_50_A4      //R135=47, G135=50, B135=A4
2A_33_87      //R136=2A, G136=33, B136=87
66_A7_37      //R137=66, G137=A7, B137=37
11_52_00      //R138=11, G138=52, B138=00
21_47_B9      //R139=21, G139=47, B139=B9
2F_55_C7      //R140=2F, G140=55, B140=C7
19_E2_95      //R141=19, G141=E2, B141=95
00_BF_72      //R142=00, G142=BF, B142=72
02_C1_18      //R143=02, G143=C1, B143=18
12_D1_28      //R144=12, G144=D1, B144=28
CA_C9_7F      //R145=CA, G145=C9, B145=7F
31_30_00      //R146=31, G146=30, B146=00
73_FA_58      //R147=73, G147=FA, B147=58
66_ED_4B      //R148=66, G148=ED, B148=4B
10_0D_2C      //R149=10, G149=0D, B149=2C
78_75_94      //R150=78, G150=75, B150=94
A4_55_B3      //R151=A4, G151=55, B151=B3
AB_5C_BA      //R152=AB, G152=5C, B152=BA
D6_3B_AB      //R153=D6, G153=3B, B153=AB
FF_78_E8      //R154=FF, G154=78, B154=E8
D8_9B_6F      //R155=D8, G155=9B, B155=6F
B9_7C_50      //R156=B9, G156=7C, B156=50
47_73_31      //R157=47, G157=73, B157=31
30_5C_1A      //R158=30, G158=5C, B158=1A
3D_84_44      //R159=3D, G159=84, B159=44
