1E      //u1=1E
89      //y1=89
D1      //v1=D1
73      //y2=73
2B      //u3=2B
88      //y3=88
38      //v3=38
65      //y4=65
14      //u5=14
78      //y5=78
15      //v5=15
C3      //y6=C3
B0      //u7=B0
D7      //y7=D7
0B      //v7=0B
66      //y8=66
F3      //u9=F3
8C      //y9=8C
D8      //v9=D8
5F      //y10=5F
CA      //u11=CA
B5      //y11=B5
BF      //v11=BF
9D      //y12=9D
03      //u13=03
29      //y13=29
EF      //v13=EF
6E      //y14=6E
39      //u15=39
7E      //y15=7E
D3      //v15=D3
65      //y16=65
EE      //u17=EE
26      //y17=26
1F      //v17=1F
62      //y18=62
4B      //u19=4B
18      //y19=18
F6      //v19=F6
73      //y20=73
14      //u21=14
D7      //y21=D7
0D      //v21=0D
8F      //y22=8F
3E      //u23=3E
54      //y23=54
01      //v23=01
BC      //y24=BC
0B      //u25=0B
80      //y25=80
D8      //v25=D8
38      //y26=38
08      //u27=08
7D      //y27=7D
2E      //v27=2E
81      //y28=81
F0      //u29=F0
B7      //y29=B7
22      //v29=22
56      //y30=56
E4      //u31=E4
AB      //y31=AB
D9      //v31=D9
39      //y32=39
D2      //u33=D2
D3      //y33=D3
DC      //v33=DC
9A      //y34=9A
58      //u35=58
50      //y35=50
D9      //v35=D9
8A      //y36=8A
3C      //u37=3C
48      //y37=48
E4      //v37=E4
23      //y38=23
CD      //u39=CD
70      //y39=70
F5      //v39=F5
8C      //y40=8C
EC      //u41=EC
BB      //y41=BB
FC      //v41=FC
D5      //y42=D5
0A      //u43=0A
4B      //y43=4B
EE      //v43=EE
51      //y44=51
4E      //u45=4E
49      //y45=49
13      //v45=13
5E      //y46=5E
EE      //u47=EE
6E      //y47=6E
DC      //v47=DC
9C      //y48=9C
1B      //u49=1B
51      //y49=51
2C      //v49=2C
27      //y50=27
E2      //u51=E2
89      //y51=89
39      //v51=39
B2      //y52=B2
22      //u53=22
2B      //y53=2B
EE      //v53=EE
64      //y54=64
45      //u55=45
73      //y55=73
56      //v55=56
B3      //y56=B3
1E      //u57=1E
BD      //y57=BD
EC      //v57=EC
5F      //y58=5F
3E      //u59=3E
69      //y59=69
F2      //v59=F2
73      //y60=73
C3      //u61=C3
99      //y61=99
B2      //v61=B2
BC      //y62=BC
F7      //u63=F7
71      //y63=71
EE      //v63=EE
7D      //y64=7D
FF      //u65=FF
CD      //y65=CD
DD      //v65=DD
69      //y66=69
07      //u67=07
8D      //y67=8D
B2      //v67=B2
8A      //y68=8A
E9      //u69=E9
79      //y69=79
08      //v69=08
5F      //y70=5F
0A      //u71=0A
7F      //y71=7F
D8      //v71=D8
63      //y72=63
F1      //u73=F1
63      //y73=63
45      //v73=45
A6      //y74=A6
13      //u75=13
69      //y75=69
5A      //v75=5A
8B      //y76=8B
0E      //u77=0E
62      //y77=62
E9      //v77=E9
AE      //y78=AE
24      //u79=24
AC      //y79=AC
DD      //v79=DD
53      //y80=53
E3      //u81=E3
50      //y81=50
65      //v81=65
90      //y82=90
42      //u83=42
76      //y83=76
08      //v83=08
BA      //y84=BA
11      //u85=11
D4      //y85=D4
E4      //v85=E4
60      //y86=60
08      //u87=08
D6      //y87=D6
C6      //v87=C6
B1      //y88=B1
D8      //u89=D8
CD      //y89=CD
11      //v89=11
89      //y90=89
F1      //u91=F1
6F      //y91=6F
E0      //v91=E0
61      //y92=61
FA      //u93=FA
A5      //y93=A5
C6      //v93=C6
8E      //y94=8E
D3      //u95=D3
B4      //y95=B4
F4      //v95=F4
C8      //y96=C8
B8      //u97=B8
9D      //y97=9D
DC      //v97=DC
CB      //y98=CB
D6      //u99=D6
66      //y99=66
F1      //v99=F1
AB      //y100=AB
44      //u101=44
71      //y101=71
0D      //v101=0D
35      //y102=35
28      //u103=28
70      //y103=70
DF      //v103=DF
1A      //y104=1A
C7      //u105=C7
90      //y105=90
B8      //v105=B8
73      //y106=73
31      //u107=31
82      //y107=82
B6      //v107=B6
CE      //y108=CE
2B      //u109=2B
A8      //y109=A8
E9      //v109=E9
78      //y110=78
FD      //u111=FD
51      //y111=51
1C      //v111=1C
7D      //y112=7D
09      //u113=09
AD      //y113=AD
A5      //v113=A5
84      //y114=84
ED      //u115=ED
56      //y115=56
32      //v115=32
57      //y116=57
A7      //u117=A7
BE      //y117=BE
13      //v117=13
5E      //y118=5E
0D      //u119=0D
AE      //y119=AE
17      //v119=17
47      //y120=47
32      //u121=32
64      //y121=64
56      //v121=56
4D      //y122=4D
F3      //u123=F3
73      //y123=73
50      //v123=50
A8      //y124=A8
00      //u125=00
D1      //y125=D1
D8      //v125=D8
52      //y126=52
B4      //u127=B4
99      //y127=99
1B      //v127=1B
2E      //y128=2E
4A      //u129=4A
5C      //y129=5C
D1      //v129=D1
66      //y130=66
CC      //u131=CC
CC      //y131=CC
